"income","sex","marital status","age","education","occupation","years in bay area","dual incomes","number in household","number of children","householder status","type of home","ethnic classification","language in home"
"$40,000+","male","divorced","35+","no college graduate","retired","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","sales","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","single","14-34","no college graduate","clerical/service","1-9","not married","1","0","rent","other","white","english"
"$0-$40,000","female","single","14-34","no college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","unemployed","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","1-9","not married","1","0","rent","other","white","english"
"$0-$40,000","male","cohabitation","14-34","no college graduate","unemployed","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","0","rent","other","white","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","student","10+","not married","1","0","own","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","clerical/service","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","married","14-34","no college graduate","student","1-9","yes","1","0","rent","apartment","white","english"
"$0-$40,000","female","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","clerical/service","10+","not married","1","1+","live with parents/family","house","white","english"
"$0-$40,000","female","divorced","35+","no college graduate","clerical/service","1-9","not married","1","0","rent","apartment","american indian","english"
"$0-$40,000","male","single","14-34","no college graduate","student","1-9","not married","2+","1+","rent","house","american indian","english"
"$0-$40,000","male","single","14-34","no college graduate","student","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","clerical/service","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","divorced","14-34","college graduate","clerical/service","1-9","not married","1","0","rent","apartment","other","english"
"$0-$40,000","male","single","35+","college graduate","clerical/service","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","clerical/service","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","widowed","35+","no college graduate","clerical/service","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","professional/managerial","10+","not married","1","0","rent","house","other","english"
"$0-$40,000","male","divorced","35+","college graduate","sales","10+","not married","1","0","rent","other","other","english"
"$0-$40,000","male","single","35+","college graduate","sales","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","divorced","14-34","no college graduate","professional/managerial","1-9","not married","2+","1+","rent","other","white","english"
"$0-$40,000","male","single","14-34","no college graduate","clerical/service","1-9","not married","1","0","rent","apartment","white","english"
"$40,000+","female","cohabitation","14-34","no college graduate","student","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","professional/managerial","1-9","not married","2+","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","professional/managerial","1-9","not married","2+","0","rent","apartment","white","english"
"$0-$40,000","female","married","14-34","no college graduate","student","1-9","no","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","student","10+","not married","1","0","live with parents/family","other","white","english"
"$0-$40,000","male","single","35+","no college graduate","clerical/service","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","single","14-34","college graduate","student","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","divorced","35+","no college graduate","unemployed","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","clerical/service","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","professional/managerial","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","divorced","35+","no college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","other","english"
"$0-$40,000","male","single","14-34","no college graduate","clerical/service","10+","not married","1","0","rent","apartment","white","english"
"$40,000+","female","married","35+","no college graduate","professional/managerial","1-9","yes","1","0","rent","condominium","white","english"
"$40,000+","female","married","35+","college graduate","professional/managerial","10+","yes","1","1+","own","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","student","1-9","not married","2+","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","laborer","1-9","not married","1","0","rent","house","white","english"
"$0-$40,000","female","single","14-34","no college graduate","sales","1-9","not married","2+","0","rent","apartment","white","english"
"$0-$40,000","male","single","35+","no college graduate","laborer","10+","not married","1","0","own","house","white","english"
"$0-$40,000","male","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","35+","no college graduate","clerical/service","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","divorced","35+","no college graduate","professional/managerial","10+","not married","1","1+","rent","house","white","english"
"$0-$40,000","male","single","35+","no college graduate","clerical/service","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$40,000+","female","married","35+","no college graduate","homemaker","10+","no","2+","0","own","house","black","english"
"$0-$40,000","female","divorced","35+","no college graduate","homemaker","10+","not married","1","0","rent","apartment","black","english"
"$0-$40,000","male","single","14-34","no college graduate","professional/managerial","1-9","not married","1","0","rent","condominium","white","english"
"$40,000+","female","married","14-34","college graduate","clerical/service","10+","yes","1","1+","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","sales","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","divorced","35+","no college graduate","professional/managerial","10+","not married","1","0","own","house","white","english"
"$0-$40,000","female","single","14-34","college graduate","laborer","10+","not married","2+","0","live with parents/family","house","black","english"
"$40,000+","male","married","35+","no college graduate","laborer","10+","yes","2+","1+","own","house","black","english"
"$0-$40,000","male","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","black","english"
"$40,000+","female","married","35+","no college graduate","homemaker","10+","no","2+","1+","own","house","hispanic","english"
"$40,000+","male","single","14-34","no college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","married","14-34","no college graduate","clerical/service","10+","yes","1","0","rent","condominium","american indian","english"
"$0-$40,000","male","single","14-34","no college graduate","sales","1-9","not married","1","0","rent","apartment","white","english"
"$40,000+","male","married","14-34","no college graduate","military","1-9","yes","1","0","rent","apartment","black","spanish"
"$0-$40,000","female","married","14-34","no college graduate","homemaker","10+","no","2+","1+","rent","apartment","black","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","10+","not married","2+","1+","live with parents/family","house","black","english"
"$0-$40,000","male","married","14-34","no college graduate","military","1-9","yes","1","0","rent","apartment","black","english"
"$40,000+","male","single","14-34","no college graduate","unemployed","10+","not married","1","1+","live with parents/family","house","black","english"
"$0-$40,000","female","divorced","14-34","no college graduate","professional/managerial","1-9","not married","2+","1+","rent","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","professional/managerial","1-9","not married","1","0","own","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","homemaker","10+","not married","1","1+","rent","apartment","white","english"
"$0-$40,000","male","single","35+","no college graduate","homemaker","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","1","1+","live with parents/family","apartment","white","english"
"$0-$40,000","female","married","35+","no college graduate","sales","10+","yes","1","1+","own","house","hispanic","other"
"$0-$40,000","female","married","35+","no college graduate","professional/managerial","10+","yes","1","0","own","house","hispanic","english"
"$0-$40,000","male","married","14-34","no college graduate","military","1-9","yes","2+","1+","rent","house","hispanic","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","sales","10+","yes","1","0","rent","apartment","black","spanish"
"$0-$40,000","female","single","14-34","no college graduate","clerical/service","10+","not married","2+","1+","live with parents/family","apartment","black","english"
"$0-$40,000","female","married","14-34","no college graduate","clerical/service","10+","not married","2+","0","rent","condominium","black","english"
"$0-$40,000","male","single","14-34","no college graduate","sales","1-9","not married","1","0","own","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","clerical/service","10+","not married","1","0","live with parents/family","apartment","black","other"
"$0-$40,000","male","single","14-34","no college graduate","student","1-9","not married","2+","1+","live with parents/family","house","black","english"
"$40,000+","male","single","14-34","no college graduate","unemployed","1-9","not married","2+","1+","live with parents/family","house","black","english"
"$0-$40,000","male","single","14-34","no college graduate","student","1-9","not married","1","1+","live with parents/family","apartment","black","english"
"$0-$40,000","female","single","14-34","no college graduate","sales","10+","not married","1","0","rent","apartment","black","english"
"$0-$40,000","female","single","14-34","no college graduate","student","1-9","not married","2+","1+","live with parents/family","apartment","black","english"
"$0-$40,000","male","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","apartment","black","english"
"$0-$40,000","male","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","apartment","black","english"
"$0-$40,000","female","single","14-34","no college graduate","clerical/service","1-9","not married","1","0","rent","apartment","black","english"
"$0-$40,000","male","single","14-34","no college graduate","unemployed","10+","not married","2+","1+","live with parents/family","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","student","1-9","not married","2+","1+","live with parents/family","apartment","black","english"
"$0-$40,000","female","divorced","14-34","no college graduate","clerical/service","1-9","not married","2+","1+","rent","apartment","black","english"
"$0-$40,000","female","married","35+","no college graduate","homemaker","10+","no","1","0","rent","house","black","english"
"$40,000+","male","married","35+","no college graduate","laborer","10+","no","1","0","rent","house","black","english"
"$40,000+","male","cohabitation","35+","no college graduate","laborer","10+","yes","1","1+","own","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","clerical/service","10+","not married","1","0","own","house","black","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","10+","not married","1","1+","rent","apartment","black","english"
"$0-$40,000","male","cohabitation","35+","no college graduate","laborer","10+","not married","1","1+","own","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","sales","10+","not married","2+","0","own","house","black","english"
"$0-$40,000","male","single","14-34","no college graduate","sales","10+","not married","2+","1+","live with parents/family","house","black","english"
"$0-$40,000","male","married","14-34","no college graduate","laborer","10+","no","2+","1+","rent","apartment","black","english"
"$0-$40,000","female","single","14-34","no college graduate","student","1-9","not married","2+","1+","live with parents/family","apartment","black","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","sales","10+","not married","2+","1+","own","condominium","black","english"
"$0-$40,000","male","married","35+","college graduate","military","10+","yes","1","1+","own","condominium","black","spanish"
"$40,000+","male","married","14-34","no college graduate","laborer","1-9","yes","1","0","own","house","black","english"
"$40,000+","male","single","14-34","no college graduate","clerical/service","10+","not married","1","1+","rent","apartment","black","english"
"$40,000+","male","single","14-34","no college graduate","sales","10+","not married","1","0","live with parents/family","condominium","black","english"
"$40,000+","female","married","14-34","college graduate","clerical/service","10+","yes","1","0","rent","condominium","black","english"
"$40,000+","female","divorced","35+","college graduate","military","1-9","not married","1","0","own","house","black","english"
"$0-$40,000","male","divorced","35+","no college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","married","14-34","no college graduate","professional/managerial","10+","yes","2+","1+","own","house","white","english"
"$0-$40,000","female","single","14-34","no college graduate","laborer","1-9","not married","2+","1+","own","house","black","english"
"$0-$40,000","male","married","14-34","no college graduate","professional/managerial","10+","yes","1","0","rent","apartment","black","english"
"$0-$40,000","male","married","14-34","college graduate","military","10+","yes","1","0","rent","apartment","black","english"
"$40,000+","female","single","35+","college graduate","retired","10+","not married","1","0","own","apartment","black","english"
"$0-$40,000","female","married","35+","no college graduate","retired","10+","no","1","1+","rent","house","black","english"
"$40,000+","male","divorced","35+","college graduate","retired","10+","not married","1","0","own","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","clerical/service","10+","not married","2+","1+","live with parents/family","house","black","english"
"$40,000+","female","single","14-34","no college graduate","professional/managerial","1-9","not married","1","1+","own","house","black","english"
"$40,000+","male","married","35+","college graduate","professional/managerial","10+","yes","2+","1+","rent","house","black","english"
"$40,000+","female","cohabitation","35+","college graduate","laborer","10+","yes","1","0","rent","condominium","black","english"
"$40,000+","female","divorced","35+","college graduate","professional/managerial","10+","not married","1","0","own","house","black","english"
"$40,000+","female","cohabitation","35+","college graduate","military","10+","not married","1","1+","rent","condominium","black","english"
"$40,000+","female","married","14-34","no college graduate","professional/managerial","1-9","yes","1","1+","rent","apartment","black","english"
"$0-$40,000","male","single","35+","college graduate","student","1-9","not married","1","0","own","apartment","black","english"
"$40,000+","male","single","14-34","no college graduate","laborer","1-9","not married","1","0","rent","apartment","black","english"
"$40,000+","male","single","14-34","no college graduate","student","10+","not married","1","0","own","condominium","american indian","spanish"
"$40,000+","male","married","14-34","no college graduate","military","1-9","yes","2+","1+","own","house","black","english"
"$40,000+","male","cohabitation","14-34","college graduate","military","10+","no","1","0","rent","apartment","black","spanish"
"$40,000+","female","married","14-34","no college graduate","clerical/service","10+","yes","2+","1+","own","house","black","english"
"$40,000+","female","single","14-34","no college graduate","sales","10+","not married","1","0","live with parents/family","house","black","english"
"$40,000+","male","single","14-34","no college graduate","laborer","10+","not married","2+","0","live with parents/family","house","black","english"
"$40,000+","female","single","35+","no college graduate","student","1-9","not married","1","0","rent","other","black","english"
"$0-$40,000","female","single","14-34","no college graduate","professional/managerial","10+","not married","1","0","rent","apartment","black","english"
"$0-$40,000","female","married","35+","no college graduate","homemaker","1-9","no","2+","1+","own","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","sales","10+","not married","2+","1+","live with parents/family","apartment","black","english"
"$0-$40,000","female","cohabitation","14-34","no college graduate","clerical/service","1-9","yes","2+","0","rent","condominium","other","english"
"$0-$40,000","male","married","14-34","no college graduate","laborer","10+","yes","2+","1+","rent","house","black","english"
"$0-$40,000","male","cohabitation","14-34","no college graduate","laborer","1-9","not married","1","0","rent","apartment","black","english"
"$0-$40,000","female","married","14-34","no college graduate","student","1-9","yes","1","1+","rent","house","black","english"
"$0-$40,000","male","single","14-34","no college graduate","clerical/service","10+","not married","1","0","rent","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","unemployed","10+","not married","2+","1+","live with parents/family","house","black","english"
"$0-$40,000","male","single","14-34","no college graduate","military","10+","not married","1","0","rent","house","black","english"
"$0-$40,000","female","single","35+","no college graduate","clerical/service","10+","not married","1","1+","rent","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","1","0","own","apartment","black","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","apartment","black","english"
"$40,000+","female","married","35+","no college graduate","clerical/service","10+","yes","2+","1+","own","house","black","english"
"$40,000+","female","married","14-34","no college graduate","professional/managerial","10+","yes","1","1+","rent","condominium","black","english"
"$0-$40,000","male","divorced","14-34","no college graduate","sales","10+","not married","2+","0","rent","apartment","black","english"
"$0-$40,000","female","divorced","14-34","no college graduate","sales","10+","not married","1","1+","rent","apartment","black","english"
"$0-$40,000","female","single","14-34","no college graduate","laborer","10+","not married","2+","1+","rent","apartment","black","english"
"$0-$40,000","male","single","14-34","no college graduate","unemployed","10+","not married","1","1+","rent","apartment","black","english"
"$0-$40,000","male","married","14-34","college graduate","sales","10+","yes","1","0","rent","house","black","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","10+","not married","1","0","own","house","black","english"
"$0-$40,000","male","cohabitation","14-34","no college graduate","military","1-9","yes","2+","0","rent","apartment","black","english"
"$0-$40,000","male","married","14-34","no college graduate","clerical/service","1-9","no","1","0","rent","apartment","hispanic","spanish"
"$0-$40,000","female","married","14-34","no college graduate","sales","1-9","yes","1","0","own","house","hispanic","english"
"$0-$40,000","female","single","14-34","no college graduate","student","1-9","not married","2+","1+","live with parents/family","house","other","english"
"$40,000+","male","married","14-34","college graduate","sales","10+","yes","1","0","rent","condominium","black","english"
"$40,000+","female","single","14-34","no college graduate","student","10+","not married","1","0","live with parents/family","house","black","spanish"
"$40,000+","female","single","14-34","no college graduate","clerical/service","1-9","not married","2+","1+","live with parents/family","house","black","english"
"$40,000+","male","married","35+","college graduate","military","1-9","yes","1","1+","rent","condominium","black","english"
"$40,000+","female","married","14-34","college graduate","military","1-9","yes","1","0","rent","condominium","black","english"
"$0-$40,000","male","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","house","black","english"
"$40,000+","female","married","35+","college graduate","clerical/service","10+","yes","2+","1+","rent","house","black","english"
"$40,000+","male","married","35+","college graduate","retired","1-9","no","1","0","own","house","black","english"
"$0-$40,000","female","cohabitation","14-34","college graduate","homemaker","1-9","not married","1","0","rent","house","american indian","english"
"$0-$40,000","male","single","14-34","no college graduate","unemployed","1-9","not married","1","1+","rent","house","black","english"
"$0-$40,000","female","married","35+","no college graduate","sales","1-9","no","2+","1+","own","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","student","10+","not married","1","1+","live with parents/family","house","black","english"
"$0-$40,000","female","married","35+","college graduate","professional/managerial","1-9","yes","1","1+","own","house","black","english"
"$40,000+","female","married","14-34","no college graduate","clerical/service","1-9","yes","1","0","own","house","black","english"
"$40,000+","male","married","14-34","no college graduate","military","1-9","yes","1","0","rent","house","black","english"
"$40,000+","male","single","14-34","no college graduate","sales","10+","not married","1","0","own","house","black","english"
"$0-$40,000","male","cohabitation","14-34","no college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$40,000+","female","single","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","black","english"
"$0-$40,000","female","married","14-34","no college graduate","clerical/service","1-9","yes","2+","1+","rent","apartment","black","english"
"$0-$40,000","male","married","35+","college graduate","sales","1-9","yes","2+","1+","rent","apartment","black","english"
"$0-$40,000","male","single","14-34","college graduate","clerical/service","10+","not married","1","0","live with parents/family","house","black","english"
"$0-$40,000","male","single","14-34","no college graduate","sales","1-9","not married","1","0","rent","apartment","black","english"
"$0-$40,000","male","single","14-34","college graduate","military","1-9","not married","1","0","own","house","black","english"
"$40,000+","female","married","35+","no college graduate","clerical/service","1-9","yes","1","1+","own","house","black","english"
"$0-$40,000","female","divorced","35+","no college graduate","clerical/service","1-9","not married","1","0","rent","apartment","black","english"
"$0-$40,000","female","divorced","14-34","no college graduate","sales","1-9","not married","1","1+","rent","apartment","black","english"
"$0-$40,000","male","single","14-34","no college graduate","student","1-9","not married","2+","1+","live with parents/family","house","hispanic","spanish"
"$0-$40,000","male","divorced","35+","no college graduate","laborer","1-9","not married","1","0","rent","house","white","english"
"$0-$40,000","female","widowed","35+","college graduate","retired","10+","not married","1","0","own","house","white","english"
"$0-$40,000","female","widowed","35+","no college graduate","retired","10+","not married","1","0","own","house","white","english"
"$40,000+","female","married","14-34","no college graduate","professional/managerial","1-9","yes","2+","1+","own","house","white","english"
"$0-$40,000","female","single","14-34","no college graduate","professional/managerial","1-9","not married","1","0","rent","apartment","white","english"
"$40,000+","female","married","35+","no college graduate","clerical/service","10+","yes","1","0","own","house","white","english"
"$40,000+","female","married","35+","no college graduate","clerical/service","10+","yes","1","0","own","house","white","english"
"$0-$40,000","male","single","35+","college graduate","professional/managerial","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","cohabitation","14-34","no college graduate","laborer","1-9","yes","2+","1+","rent","apartment","hispanic","spanish"
"$0-$40,000","female","widowed","35+","no college graduate","retired","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","1-9","not married","2+","0","rent","apartment","hispanic","spanish"
"$40,000+","female","married","14-34","no college graduate","professional/managerial","10+","yes","1","1+","own","house","white","english"
"$40,000+","female","cohabitation","14-34","no college graduate","professional/managerial","10+","not married","1","1+","rent","other","white","english"
"$40,000+","female","single","14-34","no college graduate","unemployed","10+","not married","1","1+","rent","other","hispanic","english"
"$0-$40,000","male","married","14-34","no college graduate","professional/managerial","10+","yes","1","1+","rent","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","1-9","not married","1","0","live with parents/family","house","white","english"
"$0-$40,000","female","widowed","35+","no college graduate","retired","10+","not married","1","0","own","condominium","white","english"
"$40,000+","female","married","35+","college graduate","sales","10+","yes","1","1+","rent","house","white","english"
"$0-$40,000","female","single","14-34","no college graduate","clerical/service","10+","not married","1","0","live with parents/family","house","white","english"
"$0-$40,000","male","married","35+","no college graduate","retired","10+","no","1","0","own","house","white","english"
"$40,000+","female","married","35+","no college graduate","clerical/service","10+","yes","2+","1+","own","house","white","english"
"$0-$40,000","female","married","35+","no college graduate","sales","10+","yes","1","0","own","house","white","english"
"$0-$40,000","male","married","35+","college graduate","professional/managerial","10+","yes","1","0","rent","apartment","white","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","house","white","english"
"$0-$40,000","female","married","14-34","no college graduate","clerical/service","10+","yes","1","1+","rent","apartment","black","english"
"$0-$40,000","male","married","35+","no college graduate","laborer","10+","no","1","0","own","house","hispanic","spanish"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","house","white","english"
"$40,000+","female","married","14-34","college graduate","professional/managerial","10+","no","1","0","own","house","asian","english"
"$40,000+","female","married","35+","college graduate","professional/managerial","1-9","yes","1","0","own","condominium","white","english"
"$40,000+","female","married","35+","no college graduate","homemaker","10+","no","2+","0","own","house","black","english"
"$0-$40,000","female","divorced","14-34","no college graduate","clerical/service","1-9","not married","2+","1+","rent","mobile Home","white","english"
"$40,000+","female","married","35+","no college graduate","professional/managerial","10+","yes","2+","1+","own","house","white","english"
"$40,000+","male","single","14-34","no college graduate","professional/managerial","10+","not married","1","0","own","house","white","english"
"$0-$40,000","female","married","35+","college graduate","professional/managerial","10+","yes","1","1+","own","house","white","english"
"$0-$40,000","female","single","35+","no college graduate","unemployed","1-9","not married","2+","1+","live with parents/family","house","white","english"
"$0-$40,000","female","married","14-34","no college graduate","laborer","10+","yes","2+","1+","own","house","black","english"
"$40,000+","female","single","14-34","no college graduate","clerical/service","10+","not married","1","1+","live with parents/family","house","white","english"
"$0-$40,000","female","married","14-34","college graduate","professional/managerial","1-9","yes","1","1+","rent","house","white","english"
"$0-$40,000","female","married","35+","no college graduate","professional/managerial","10+","yes","2+","0","own","house","white","english"
"$0-$40,000","female","single","35+","no college graduate","professional/managerial","10+","not married","1","0","live with parents/family","house","white","english"
"$40,000+","female","married","35+","college graduate","professional/managerial","10+","yes","1","1+","own","house","white","english"
"$0-$40,000","female","married","35+","no college graduate","retired","10+","no","1","0","own","house","white","english"
"$0-$40,000","female","single","14-34","no college graduate","unemployed","10+","not married","1","1+","live with parents/family","house","white","english"
"$40,000+","female","married","35+","college graduate","professional/managerial","10+","yes","2+","1+","own","house","black","english"
"$0-$40,000","male","divorced","35+","no college graduate","laborer","10+","not married","1","0","live with parents/family","house","black","english"
"$0-$40,000","female","single","14-34","no college graduate","clerical/service","10+","not married","1","0","rent","condominium","white","english"
"$40,000+","female","married","35+","no college graduate","clerical/service","10+","yes","1","0","own","house","white","english"
"$0-$40,000","female","divorced","14-34","college graduate","professional/managerial","1-9","not married","1","0","rent","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","student","10+","not married","2+","1+","own","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","military","1-9","not married","1","0","live with parents/family","house","white","english"
"$0-$40,000","female","single","14-34","no college graduate","professional/managerial","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","male","married","14-34","no college graduate","military","1-9","no","1","1+","rent","apartment","white","english"
"$0-$40,000","female","married","14-34","no college graduate","homemaker","1-9","yes","1","0","rent","apartment","white","english"
"$0-$40,000","female","married","35+","no college graduate","retired","10+","not married","1","0","own","house","american indian","english"
"$0-$40,000","female","married","35+","no college graduate","professional/managerial","10+","no","2+","0","rent","house","black","english"
"$40,000+","female","married","35+","no college graduate","clerical/service","10+","yes","2+","1+","own","house","hispanic","spanish"
"$0-$40,000","male","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","house","hispanic","spanish"
"$40,000+","female","single","35+","no college graduate","professional/managerial","10+","not married","1","0","rent","house","white","english"
"$0-$40,000","female","single","35+","no college graduate","retired","10+","not married","1","0","own","mobile Home","white","english"
"$0-$40,000","female","widowed","35+","no college graduate","retired","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","widowed","35+","college graduate","homemaker","10+","not married","1","0","own","house","white","english"
"$0-$40,000","female","married","35+","college graduate","clerical/service","1-9","yes","2+","1+","own","house","asian","english"
"$0-$40,000","male","single","14-34","no college graduate","laborer","1-9","not married","2+","1+","live with parents/family","house","pacific islander","english"
"$0-$40,000","male","married","35+","no college graduate","retired","10+","no","1","0","own","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","student","1-9","not married","1","0","live with parents/family","apartment","black","english"
"$0-$40,000","female","widowed","35+","no college graduate","clerical/service","10+","not married","1","0","own","mobile Home","white","english"
"$40,000+","male","married","35+","college graduate","professional/managerial","10+","yes","1","1+","own","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","professional/managerial","1-9","not married","2+","1+","live with parents/family","house","asian","other"
"$0-$40,000","female","widowed","35+","no college graduate","retired","10+","not married","1","0","rent","apartment","white","english"
"$0-$40,000","female","single","14-34","no college graduate","professional/managerial","10+","not married","2+","1+","live with parents/family","house","hispanic","spanish"
"$0-$40,000","male","single","14-34","no college graduate","clerical/service","10+","not married","1","0","live with parents/family","house","black","english"
"$0-$40,000","male","single","14-34","no college graduate","student","10+","not married","1","0","live with parents/family","house","black","english"
"$0-$40,000","male","cohabitation","14-34","no college graduate","clerical/service","10+","no","2+","1+","live with parents/family","house","pacific islander","english"
"$0-$40,000","female","married","35+","college graduate","professional/managerial","10+","no","1","0","own","house","white","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","house","other","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","house","other","english"
"$0-$40,000","female","married","35+","no college graduate","retired","10+","no","1","0","own","mobile Home","white","english"
"$0-$40,000","female","single","14-34","no college graduate","student","10+","not married","2+","1+","live with parents/family","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","sales","10+","not married","2+","1+","rent","house","hispanic","spanish"
"$0-$40,000","female","divorced","14-34","no college graduate","homemaker","10+","not married","1","1+","rent","apartment","white","english"
"$40,000+","male","cohabitation","14-34","college graduate","professional/managerial","10+","no","1","0","own","house","asian","english"
"$40,000+","male","single","14-34","no college graduate","laborer","1-9","not married","2+","0","own","house","black","english"
"$40,000+","female","married","35+","no college graduate","professional/managerial","10+","yes","1","0","own","house","white","english"
"$40,000+","female","married","35+","no college graduate","retired","10+","not married","1","0","own","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","military","10+","not married","1","0","rent","apartment","american indian","english"
"$0-$40,000","male","cohabitation","14-34","no college graduate","clerical/service","1-9","no","1","0","rent","condominium","white","english"
"$40,000+","female","married","35+","college graduate","retired","10+","no","1","0","own","house","white","english"
"$0-$40,000","male","single","14-34","no college graduate","unemployed","10+","not married","2+","0","live with parents/family","apartment","hispanic","english"
